pattern,captured_variance,top_drivers
Single-Device Long-Term Viewers,0.1979,
High-Cost Low-Engagement Users,0.1651,
Multi-Device Premium Subscribers,0.0891,
Low-Download TV Enthusiasts,0.0741,
High-Value Drama Fans,0.0644,
New Low-Cost Accounts,0.0511,
Recent Multi-Device Sci-Fi Fans,0.0449,
Standard Tier Comedy Viewers,0.0364,
Subtitle-Reliant Mid-Tier Users,0.0296,
Low-Tenure Electronic Check Users,0.0275,
Budget-Conscious Movie Watchers,0.0209,
Single-Device TV Streamers,0.0172,
Established Parental Control Users,0.0144,
New Subtitle-Free Accounts,0.0133,
High-Rate New Subscribers,0.0125,
Long-Term High-Spend Veterans,0.0099,
High-Charge Low-Support Users,0.0087,
Standard Tier Multi-Device Users,0.0079,
Paperless Drama Enthusiasts,0.0069,
Active Female Action Fans,0.0062,
